LOCATION,fecha_diagnostico,value,fecha_csv
ALL,2020-03-13,6,2020-06-22
ALL,2020-03-14,7,2020-06-22
ALL,2020-03-15,11,2020-06-22
ALL,2020-03-16,10,2020-06-22
ALL,2020-03-17,18,2020-06-22
ALL,2020-03-18,29,2020-06-22
ALL,2020-03-19,22,2020-06-22
ALL,2020-03-20,30,2020-06-22
ALL,2020-03-21,62,2020-06-22
ALL,2020-03-22,54,2020-06-22
ALL,2020-03-23,31,2020-06-22
ALL,2020-03-24,106,2020-06-22
ALL,2020-03-25,114,2020-06-22
ALL,2020-03-26,110,2020-06-22
ALL,2020-03-27,81,2020-06-22
ALL,2020-03-28,68,2020-06-22
ALL,2020-03-29,111,2020-06-22
ALL,2020-03-30,84,2020-06-22
ALL,2020-03-31,90,2020-06-22
ALL,2020-04-01,119,2020-06-22
ALL,2020-04-02,142,2020-06-22
ALL,2020-04-03,102,2020-06-22
ALL,2020-04-04,101,2020-06-22
ALL,2020-04-05,71,2020-06-22
ALL,2020-04-06,104,2020-06-22
ALL,2020-04-07,75,2020-06-22
ALL,2020-04-08,101,2020-06-22
ALL,2020-04-09,96,2020-06-22
ALL,2020-04-10,129,2020-06-22
ALL,2020-04-11,69,2020-06-22
ALL,2020-04-12,67,2020-06-22
ALL,2020-04-13,92,2020-06-22
ALL,2020-04-14,125,2020-06-22
ALL,2020-04-15,128,2020-06-22
ALL,2020-04-16,104,2020-06-22
ALL,2020-04-17,87,2020-06-22
ALL,2020-04-18,122,2020-06-22
ALL,2020-04-19,60,2020-06-22
ALL,2020-04-20,94,2020-06-22
ALL,2020-04-21,160,2020-06-22
ALL,2020-04-22,117,2020-06-22
ALL,2020-04-23,137,2020-06-22
