LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL,2020-04-27,12,2020-06-22
ALL,2020-04-28,4,2020-06-22
ALL,2020-04-29,3,2020-06-22
ALL,2020-04-30,4,2020-06-22
ALL,2020-05-01,2,2020-06-22
ALL,2020-05-02,13,2020-06-22
ALL,2020-05-03,3,2020-06-22
ALL,2020-05-04,9,2020-06-22
ALL,2020-05-05,9,2020-06-22
ALL,2020-05-06,6,2020-06-22
ALL,2020-05-07,9,2020-06-22
ALL,2020-05-08,8,2020-06-22
ALL,2020-05-09,7,2020-06-22
ALL,2020-05-10,8,2020-06-22
ALL,2020-05-11,10,2020-06-22
ALL,2020-05-12,10,2020-06-22
ALL,2020-05-13,8,2020-06-22
ALL,2020-05-14,10,2020-06-22
ALL,2020-05-15,10,2020-06-22
ALL,2020-05-16,12,2020-06-22
ALL,2020-05-17,12,2020-06-22
ALL,2020-05-18,22,2020-06-22
ALL,2020-05-19,19,2020-06-22
ALL,2020-05-20,20,2020-06-22
ALL,2020-05-21,26,2020-06-22
ALL,2020-05-22,18,2020-06-22
ALL,2020-05-23,16,2020-06-22
ALL,2020-05-24,18,2020-06-22
ALL,2020-05-25,14,2020-06-22
ALL,2020-05-26,16,2020-06-22
