LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL/CABA,2020-04-15,1,2020-06-17
ALL/CABA,2020-04-18,1,2020-06-17
ALL/CABA,2020-04-19,1,2020-06-17
ALL/CABA,2020-04-20,4,2020-06-17
ALL/CABA,2020-04-21,1,2020-06-17
ALL/CABA,2020-04-22,4,2020-06-17
ALL/CABA,2020-04-23,5,2020-06-17
ALL/CABA,2020-04-24,5,2020-06-17
ALL/CABA,2020-04-27,6,2020-06-17
ALL/CABA,2020-04-28,1,2020-06-17
ALL/CABA,2020-04-29,1,2020-06-17
ALL/CABA,2020-04-30,1,2020-06-17
ALL/CABA,2020-05-02,3,2020-06-17
ALL/CABA,2020-05-03,1,2020-06-17
ALL/CABA,2020-05-04,4,2020-06-17
ALL/CABA,2020-05-05,3,2020-06-17
ALL/CABA,2020-05-06,4,2020-06-17
ALL/CABA,2020-05-07,6,2020-06-17
ALL/CABA,2020-05-08,5,2020-06-17
ALL/CABA,2020-05-09,2,2020-06-17
ALL/CABA,2020-05-10,3,2020-06-17
ALL/CABA,2020-05-11,6,2020-06-17
ALL/CABA,2020-05-12,7,2020-06-17
ALL/CABA,2020-05-13,2,2020-06-17
ALL/CABA,2020-05-14,3,2020-06-17
ALL/CABA,2020-05-15,9,2020-06-17
ALL/CABA,2020-05-16,6,2020-06-17
ALL/CABA,2020-05-17,8,2020-06-17
ALL/CABA,2020-05-18,17,2020-06-17
ALL/CABA,2020-05-19,12,2020-06-17
ALL/CABA,2020-05-20,9,2020-06-17
ALL/CABA,2020-05-21,10,2020-06-17
ALL/CABA,2020-05-22,11,2020-06-17
ALL/CABA,2020-05-23,11,2020-06-17
ALL/CABA,2020-05-24,9,2020-06-17
ALL/CABA,2020-05-25,6,2020-06-17
ALL/CABA,2020-05-26,8,2020-06-17
ALL/CABA,2020-05-27,10,2020-06-17
ALL/CABA,2020-05-28,13,2020-06-17
ALL/CABA,2020-05-29,13,2020-06-17
ALL/CABA,2020-05-30,7,2020-06-17
ALL/CABA,2020-05-31,6,2020-06-17
ALL/CABA,2020-06-01,10,2020-06-17
ALL/CABA,2020-06-02,12,2020-06-17
ALL/CABA,2020-06-03,13,2020-06-17
ALL/CABA,2020-06-04,11,2020-06-17
ALL/CABA,2020-06-05,7,2020-06-17
ALL/CABA,2020-06-06,15,2020-06-17
ALL/CABA,2020-06-07,7,2020-06-17
ALL/CABA,2020-06-08,11,2020-06-17
