LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/Santa Fe,2020-04-01,1,2020-06-16
ALL/Santa Fe,2020-04-09,1,2020-06-16
ALL/Santa Fe,2020-05-07,1,2020-06-16
ALL/Santa Fe,2020-06-15,1,2020-06-16
ALL/Tucumán,2020-03-29,1,2020-06-16
ALL/Tucumán,2020-03-30,1,2020-06-16
ALL/Tucumán,2020-04-01,1,2020-06-16
ALL/Tucumán,2020-04-08,1,2020-06-16
ALL/Tucumán,2020-06-08,1,2020-06-16
ALL/Buenos Aires,2020-03-21,1,2020-06-17
ALL/Buenos Aires,2020-03-24,2,2020-06-17
ALL/Buenos Aires,2020-03-26,3,2020-06-17
ALL/Buenos Aires,2020-03-28,1,2020-06-17
ALL/Buenos Aires,2020-03-29,1,2020-06-17
ALL/Buenos Aires,2020-03-30,1,2020-06-17
ALL/Buenos Aires,2020-03-31,1,2020-06-17
ALL/Buenos Aires,2020-04-01,2,2020-06-17
ALL/Buenos Aires,2020-04-02,3,2020-06-17
ALL/Buenos Aires,2020-04-03,3,2020-06-17
ALL/Buenos Aires,2020-04-05,3,2020-06-17
ALL/Buenos Aires,2020-04-06,1,2020-06-17
ALL/Buenos Aires,2020-04-07,4,2020-06-17
ALL/Buenos Aires,2020-04-08,6,2020-06-17
ALL/Buenos Aires,2020-04-09,2,2020-06-17
ALL/Buenos Aires,2020-04-10,3,2020-06-17
ALL/Buenos Aires,2020-04-11,1,2020-06-17
ALL/Buenos Aires,2020-04-12,3,2020-06-17
ALL/Buenos Aires,2020-04-13,2,2020-06-17
ALL/Buenos Aires,2020-04-14,1,2020-06-17
ALL/Buenos Aires,2020-04-15,3,2020-06-17
ALL/Buenos Aires,2020-04-16,3,2020-06-17
ALL/Buenos Aires,2020-04-17,2,2020-06-17
ALL/Buenos Aires,2020-04-18,4,2020-06-17
ALL/Buenos Aires,2020-04-19,2,2020-06-17
ALL/Buenos Aires,2020-04-20,2,2020-06-17
ALL/Buenos Aires,2020-04-21,3,2020-06-17
ALL/Buenos Aires,2020-04-22,6,2020-06-17
ALL/Buenos Aires,2020-04-23,4,2020-06-17
ALL/Buenos Aires,2020-04-24,5,2020-06-17
ALL/Buenos Aires,2020-04-25,3,2020-06-17
ALL/Buenos Aires,2020-04-26,3,2020-06-17
ALL/Buenos Aires,2020-04-27,5,2020-06-17
ALL/Buenos Aires,2020-04-28,3,2020-06-17
ALL/Buenos Aires,2020-04-29,1,2020-06-17
ALL/Buenos Aires,2020-04-30,4,2020-06-17
ALL/Buenos Aires,2020-05-01,6,2020-06-17
ALL/Buenos Aires,2020-05-02,2,2020-06-17
ALL/Buenos Aires,2020-05-03,5,2020-06-17
ALL/Buenos Aires,2020-05-04,2,2020-06-17
ALL/Buenos Aires,2020-05-05,1,2020-06-17
ALL/Buenos Aires,2020-05-06,7,2020-06-17
ALL/Buenos Aires,2020-05-07,7,2020-06-17
ALL/Buenos Aires,2020-05-08,4,2020-06-17
