LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/General Roca,2020-04-05,1,2020-06-16
ALL/General Roca,2020-04-09,1,2020-06-16
ALL/General Roca,2020-04-20,1,2020-06-16
ALL/General Roca,2020-04-29,1,2020-06-16
ALL/General Roca,2020-05-06,1,2020-06-16
ALL/General Roca,2020-05-19,1,2020-06-16
ALL/General Roca,2020-05-25,1,2020-06-16
ALL/General Roca,2020-06-03,1,2020-06-16
ALL/General Roca,2020-06-06,1,2020-06-16
ALL/General Roca,2020-06-07,1,2020-06-16
ALL/General Roca,2020-06-08,2,2020-06-16
ALL/General Roca,2020-06-10,1,2020-06-16
ALL/General Roca,2020-06-12,1,2020-06-16
ALL/General Rodríguez,2020-05-22,1,2020-06-16
ALL/General Rodríguez,2020-06-13,1,2020-06-16
ALL/General San Martín,2020-04-05,1,2020-06-16
ALL/General San Martín,2020-04-06,1,2020-06-16
ALL/General San Martín,2020-04-09,1,2020-06-16
ALL/General San Martín,2020-04-13,1,2020-06-16
ALL/General San Martín,2020-04-15,2,2020-06-16
ALL/General San Martín,2020-04-19,1,2020-06-16
ALL/General San Martín,2020-04-21,1,2020-06-16
ALL/General San Martín,2020-04-25,1,2020-06-16
ALL/General San Martín,2020-04-29,1,2020-06-16
ALL/General San Martín,2020-05-02,1,2020-06-16
ALL/General San Martín,2020-05-03,1,2020-06-16
ALL/General San Martín,2020-05-06,1,2020-06-16
ALL/General San Martín,2020-05-07,1,2020-06-16
ALL/General San Martín,2020-05-08,1,2020-06-16
ALL/General San Martín,2020-05-09,1,2020-06-16
ALL/General San Martín,2020-05-11,1,2020-06-16
ALL/General San Martín,2020-05-13,1,2020-06-16
ALL/General San Martín,2020-05-15,1,2020-06-16
ALL/General San Martín,2020-05-25,1,2020-06-16
ALL/General San Martín,2020-05-28,2,2020-06-16
ALL/General San Martín,2020-05-31,1,2020-06-16
ALL/General San Martín,2020-06-01,1,2020-06-16
ALL/General San Martín,2020-06-06,1,2020-06-16
ALL/General San Martín,2020-06-07,1,2020-06-16
ALL/General San Martín,2020-06-13,2,2020-06-16
ALL/General San Martín,2020-06-15,1,2020-06-16
ALL/General Villegas,2020-06-11,1,2020-06-16
ALL/Godoy Cruz,2020-04-07,1,2020-06-16
ALL/Godoy Cruz,2020-04-19,1,2020-06-16
ALL/Godoy Cruz,2020-04-23,1,2020-06-16
